sample_number,follow_number,Date_Collected,Orangutan_ID,Time_Collected,First_Urine_Day,Site,Age_Class,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG-1,Cr/(SG-1)
1459,8997,12-Jun-17,Arthur,5:46:00 AM,TRUE,Tuanan,adult flanged male,08-Apr-20,0.886,0.5,1.017,Male,2.717726992,Low,0.017,52.11764706
1462,9000,13-Jun-17,Arthur,6:27:00 AM,FALSE,Tuanan,adult flanged male,08-Apr-20,1.045,1.9,1.033,Male,2.717726992,Low,0.033,31.66666667
1296,8229,07-Aug-16,Arthur,5:43:00 AM,TRUE,Tuanan,adult flanged male,18-Jul-19,0.744,3.6,1.037,Male,0.478755236,Low,0.037,20.10810811
1457,8994,11-Jun-17,Arthur,5:06:00 AM,TRUE,Tuanan,adult flanged male,08-Apr-20,0.878,3.7,1.035,Male,2.717726992,Low,0.035,25.08571429
1463,9005,15-Jun-17,Arthur,5:41:00 AM,TRUE,Tuanan,adult flanged male,08-Apr-20,0.879,4.3,1.03,Male,2.717726992,Low,0.03,29.3
1424,8925,16-May-17,Bella,5:12:00 AM,TRUE,Tuanan,adult female no dependent,03-Apr-20,0.398,0.9,1.013,Female,2.866831073,Low,0.013,30.61538462
1431,8934,19-May-17,Bella,5:52:00 AM,TRUE,Tuanan,adult female no dependent,03-Apr-20,0.561,0.9,1.026,Female,2.866831073,Low,0.026,21.57692308
1430,8930,18-May-17,Bella,4:56:00 AM,TRUE,Tuanan,adult female no dependent,03-Apr-20,0.608,1.4,1.03,Female,2.866831073,Low,0.03,20.26666667
997,7478,22-Nov-15,Bella,4:41:00 AM,TRUE,Tuanan,independent immature (older juvs),13-Dec-19,0.595,2.6,1.031,Female,3.448,Low,0.031,19.19354839
1426,8926,17-May-17,Bella,4:36:00 AM,TRUE,Tuanan,adult female no dependent,03-Apr-20,0.107,2.7,1.006,Female,2.866831073,Low,0.006,17.83333333
VTU071,,05-Dec-12,Bella,12:23:00 PM,FALSE,Tuanan,independent immature (older juvs),15-Oct-13,0.296268657,3.84723085,,Female,8.91,High,,
VTU039,5244,28-Sep-12,Bella,6:02:00 AM,TRUE,Tuanan,independent immature (older juvs),15-Oct-13,0.829402985,7.99105738,,Female,5.02,High,,
926,7185,03-Jul-15,Bobo,5:04:00 AM,TRUE,Tuanan,adult flanged male,08-Nov-19,0.893,0.9,1.021,Male,4.423,High,0.021,42.52380952
450,5696,22-Aug-13,Bobo,1:52:00 PM,FALSE,Tuanan,adult flanged male,27-Feb-14,1.547,1.124239579,1.055,Male,3.12,Low,0.055,28.12727273
451,5699,23-Aug-13,Bobo,5:10:00 AM,TRUE,Tuanan,adult flanged male,27-Feb-14,1.32,1.3121,1.051,Male,3.12,Low,0.051,25.88235294
928,7187,04-Jul-15,Bobo,5:21:00 AM,TRUE,Tuanan,adult flanged male,08-Nov-19,0.752,1.9,1.019,Male,4.423,High,0.019,39.57894737
931,7194,06-Jul-15,Bobo,5:11:00 AM,TRUE,Tuanan,adult flanged male,08-Nov-19,0.902,3,1.023,Male,4.423,High,0.023,39.2173913
1100,7735,21-Feb-16,Bobo,10:36:00 AM,FALSE,Tuanan,adult flanged male,24-Jun-19,0.648,3.6,1.026,Male,1.086637298,Low,0.026,24.92307692
934,7199,07-Jul-15,Bobo,5:19:00 AM,TRUE,Tuanan,adult flanged male,26-Nov-19,1.08,6.7,1.019,Male,4.423,High,0.019,56.84210526
1101,7738,22-Feb-16,Bobo,5:08:00 AM,TRUE,Tuanan,adult flanged male,24-Jun-19,0.29,7.4,1.017,Male,1.086637298,Low,0.017,17.05882353
398,5564,23-Jun-13,Bobo,5:24:00 AM,TRUE,Tuanan,adult flanged male,27-Feb-14,0.3149,9.4157991,1.037,Male,4.64,High,0.037,8.510810811
1153,7864,06-May-16,Charlie,5:59:00 AM,FALSE,Tuanan,adult flanged male,17-Jun-19,0.473,1,1.021,Male,0.505801845,Low,0.021,22.52380952
1250,8135,14-Jul-16,Charlie,6:24:00 AM,TRUE,Tuanan,semi-independent immature (juveniles),13-Jun-19,0.566,2.3,1.035,Male,0.269784173,Low,0.035,16.17142857
1246,8131,13-Jul-16,Charlie,4:36:00 AM,TRUE,Tuanan,independent immature (older juvs),13-Jun-19,0.488,2.4,1.031,Male,0.269784173,Low,0.031,15.74193548
425,5640,19-Jul-13,Chaz,6:30:00 AM,TRUE,Tuanan,adult flanged male,27-Feb-14,1.165,1.184150112,1.023,Male,3,Low,0.023,50.65217391
423,5636,18-Jul-13,Chaz,5:10:00 AM,TRUE,Tuanan,adult flanged male,27-Feb-14,0.248,1.661,1.007,Male,3,Low,0.007,35.42857143
396,5556,18-Jun-13,Chaz,5:26:00 AM,TRUE,Tuanan,adult flanged male,27-Feb-14,0.386,2.1477945,1.039,Male,4.64,High,0.039,9.897435897
357,5552,17-Jun-13,Chaz,6:17:00 AM,FALSE,Tuanan,adult flanged male,27-Apr-15,1.653,2.5,1.005,Male,4.64,High,0.005,330.6
358,5556,18-Jun-13,Chaz,5:26:00 AM,TRUE,Tuanan,adult flanged male,27-Apr-15,1.172,3.2,1.027,Male,4.64,High,0.027,43.40740741
427,5646,21-Jul-13,Chaz,5:35:00 AM,TRUE,Tuanan,adult flanged male,27-Feb-14,0.795061728,3.403774878,1.023,Male,3,Low,0.023,34.56790123
475,5746,14-Sep-13,Chaz,5:48:00 AM,TRUE,Tuanan,adult female with dependent,26-Nov-19,0.75,3.9,1.021,Male,6.58,High,0.021,35.71428571
394,5552,17-Jun-13,Chaz,6:21:00 AM,FALSE,Tuanan,adult flanged male,27-Feb-14,0.2203,5.0224729,1.036,Male,4.64,High,0.036,6.119444444
311,5344,14-Nov-12,Chili,8:35:00 AM,FALSE,Tuanan,adult flanged male,08-Apr-15,1.219,0.7,1.032,Male,10.05,High,0.032,38.09375
VTU032,5220,14-Sep-12,Chili,7:06:00 AM,FALSE,Tuanan,adult flanged male,03-Jan-13,1.816393443,2.87182357,,Male,5.02,High,,
VTU067,5368,26-Nov-12,Chili,11:49:00 AM,FALSE,Tuanan,adult flanged male,03-Jan-13,1.099180328,3.16378873,,Male,10.05,High,,
VTU066,5368,26-Nov-12,Chili,10:38:00 AM,FALSE,Tuanan,adult flanged male,03-Jan-13,1.992622951,3.49044894,,Male,10.05,High,,
1524,9176,15-Sep-17,Cikipos,5:41:00 AM,FALSE,Tuanan,adult female with dependent,10-Apr-20,0.942,1.6,1.026,Female,3.320012296,Low,0.026,36.23076923
1420,8916,13-May-17,Cinta,5:24:00 AM,TRUE,Tuanan,adult female with dependent,24-Mar-20,0.315,2,1.01,Female,2.866831073,Low,0.01,31.5
1422,8918,14-May-17,Cinta,5:53:00 AM,TRUE,Tuanan,adult female with dependent,03-Apr-20,0.595,2.9,1.016,Female,2.866831073,Low,0.016,37.1875
1247,8129,13-Jul-16,Cinta,5:40:00 AM,TRUE,Tuanan,adult female with dependent,13-Jun-19,0.626,3.9,1.034,Female,0.269784173,Low,0.034,18.41176471
1007,7507,29-Nov-15,Cinta,5:13:00 AM,TRUE,Tuanan,adult female with dependent,24-Jun-19,0.252,4.8,1.028,Female,3.448,Low,0.028,9
1252,8138,15-Jul-16,Cinta,6:24:00 AM,TRUE,Tuanan,adult female with dependent,13-Jun-19,1.138,5.8,1.039,Female,0.269784173,Low,0.039,29.17948718
1001,7491,25-Nov-15,Cinta,5:02:00 AM,TRUE,Tuanan,adult female with dependent,24-Jun-19,0.185,6.5,1.023,Female,3.448,Low,0.023,8.043478261
1249,8133,14-Jul-16,Cinta,6:24:00 AM,TRUE,Tuanan,adult female with dependent,13-Jun-19,0.72,7.2,1.039,Female,0.269784173,Low,0.039,18.46153846
1254,8142,16-Jul-16,Cinta,7:31:00 AM,TRUE,Tuanan,adult female with dependent,13-Jun-19,0.221,8.2,1.012,Female,0.269784173,Low,0.012,18.41666667
499,5850,30-Oct-13,Cinta,6:15:00 AM,TRUE,Tuanan,adult female no dependent,27-Apr-15,0.697,8.7,1.051,Female,4.17,High,0.051,13.66666667
784,6801,27-Jan-15,Cinta,5:41:00 AM,TRUE,Tuanan,adult female no dependent,04-Feb-17,0.653,10,1.035,Female,5.391,High,0.035,18.65714286
1142,7832,27-Apr-16,Danum,5:42:00 AM,TRUE,Tuanan,dependent immature - clinging infant (0-4yrs),17-Jun-19,0.456,1.7,1.03,Male,1.17959304,Low,0.03,15.2
1204,8020,08-Jun-16,Danum,4:59:00 AM,FALSE,Tuanan,dependent immature non-clinging infant (4yrs-weaned),14-Jun-19,0.548,7.7,1.026,Male,0.623515439,Low,0.026,21.07692308
1280,8196,29-Jul-16,Dayak,5:47:00 AM,FALSE,Tuanan,adult flanged male,18-Jul-19,0.339,0.3,1.016,Male,0.269784173,Low,0.016,21.1875
1423,8923,16-May-17,Dayak,5:21:00 AM,TRUE,Tuanan,adult flanged male,03-Apr-20,0.39,0.4,1.008,Male,2.866831073,Low,0.008,48.75
792,6841,14-Feb-15,Dayak,5:42:00 AM,TRUE,Tuanan,adult flanged male,04-Feb-17,0.991,0.4,1.038,Male,4.366,High,0.038,26.07894737
