SampleNumber,Dummy_sampleNumber,FollowNumber,Date_Collected,Orangutan_ID,Orangutan_ID#,Time_Collected,First_Urine_Day,Site,Age_Class,AgeClassCond,Analysis_Date,Creatinine_Result,CV,SGmeter,Sex,Habitat_Wide,HI_Low_FAI_Quartiles,SG1,CrSG1,Sg12,,,RES_1,,
1459,360,8997,12-Jun-17,Arthur,48,5:46:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Apr-20,0.88600000000,0.5000000000,1.017,Male,2.717726992,Low,0.017,52.117647060000000,0.000289000000001,,,0.36862,,
1463,758,9005,15-Jun-17,Arthur,48,5:41:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Apr-20,0.87900000000,4.3000000000,1.030,Male,2.717726992,Low,0.030,29.300000000000000,0.000900000000000,,,0.05729,,
1462,850,9000,13-Jun-17,Arthur,48,6:27:00 AM,0,Tuanan,adult flanged male,adult flanged male,8-Apr-20,1.04500000000,1.9000000000,1.033,Male,2.717726992,Low,0.033,31.666666670000000,0.001089000000001,,,0.16430,,
1457,886,8994,11-Jun-17,Arthur,48,5:06:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Apr-20,0.87800000000,3.7000000000,1.035,Male,2.717726992,Low,0.035,25.085714290000000,0.001225000000001,,,-0.03969,,
1296,931,8229,7-Aug-16,Arthur,48,5:43:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.74400000000,3.6000000000,1.037,Male,0.478755236,Low,0.037,20.108108110000000,0.001369000000000,,,-0.20880,,
1426,24,8926,17-May-17,Bella,18,4:36:00 AM,1,Tuanan,adult female no dependent,adult female,3-Apr-20,0.10700000000,2.7000000000,1.006,Female,2.866831073,Low,0.006,17.833333330000000,0.000036000000000,,,-0.09106,,
1424,206,8925,16-May-17,Bella,18,5:12:00 AM,1,Tuanan,adult female no dependent,adult female,3-Apr-20,0.39800000000,0.9000000000,1.013,Female,2.866831073,Low,0.013,30.615384620000000,0.000169000000000,,,-0.00982,,
1431,636,8934,19-May-17,Bella,18,5:52:00 AM,1,Tuanan,adult female no dependent,adult female,3-Apr-20,0.56100000000,0.9000000000,1.026,Female,2.866831073,Low,0.026,21.576923080000000,0.000676000000000,,,-0.17550,,
1430,751,8930,18-May-17,Bella,18,4:56:00 AM,1,Tuanan,adult female no dependent,adult female,3-Apr-20,0.60800000000,1.4000000000,1.030,Female,2.866831073,Low,0.030,20.266666670000000,0.000900000000000,,,-0.21371,,
997,775,7478,22-Nov-15,Bella,18,4:41:00 AM,1,Tuanan,independent immature (older juvs),semiIndind,13-Dec-19,0.59500000000,2.6000000000,1.031,Female,3.448000000,Low,0.031,19.193548390000000,0.000961000000000,,,-0.24684,,
VTU039,1166,5244,28-Sep-12,Bella,18,6:02:00 AM,1,Tuanan,independent immature (older juvs),semiIndind,15-Oct-13,0.82940298510,7.9910573800,#NULL!,Female,5.020000000,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
VTU071,1189,#NULL!,5-Dec-12,Bella,18,12:23:00 PM,0,Tuanan,independent immature (older juvs),semiIndind,15-Oct-13,0.29626865670,3.8472308500,#NULL!,Female,8.910000000,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
1101,340,7738,22-Feb-16,Bobo,47,5:08:00 AM,1,Tuanan,adult flanged male,adult flanged male,24-Jun-19,0.29000000000,7.4000000000,1.017,Male,1.086637298,Low,0.017,17.058823530000000,0.000289000000001,,,-0.22738,,
928,413,7187,4-Jul-15,Bobo,47,5:21:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Nov-19,0.75200000000,1.9000000000,1.019,Male,4.423000000,High,0.019,39.578947370000000,0.000361000000000,,,0.18265,,
934,417,7199,7-Jul-15,Bobo,47,5:19:00 AM,1,Tuanan,adult flanged male,adult flanged male,26-Nov-19,1.08000000000,6.7000000000,1.019,Male,4.423000000,High,0.019,56.842105260000000,0.000361000000000,,,0.51065,,
926,489,7185,3-Jul-15,Bobo,47,5:04:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Nov-19,0.89300000000,0.9000000000,1.021,Male,4.423000000,High,0.021,42.523809520000000,0.000441000000001,,,0.27355,,
931,554,7194,6-Jul-15,Bobo,47,5:11:00 AM,1,Tuanan,adult flanged male,adult flanged male,8-Nov-19,0.90200000000,3.0000000000,1.023,Male,4.423000000,High,0.023,39.217391300000000,0.000529000000000,,,0.23433,,
1100,638,7735,21-Feb-16,Bobo,47,10:36:00 AM,0,Tuanan,adult flanged male,adult flanged male,24-Jun-19,0.64800000000,3.6000000000,1.026,Male,1.086637298,Low,0.026,24.923076920000000,0.000676000000000,,,-0.08850,,
398,924,5564,23-Jun-13,Bobo,47,5:24:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Feb-14,0.31490000000,9.4157991000,1.037,Male,4.640000000,High,0.037,8.510810811000000,0.001369000000000,,,-0.63790,,
451,1111,5699,23-Aug-13,Bobo,47,5:10:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Feb-14,1.32000000000,1.3121000000,1.051,Male,3.120000000,Low,0.051,25.882352940000000,0.002601000000000,,,0.17386,,
450,1121,5696,22-Aug-13,Bobo,47,1:52:00 PM,0,Tuanan,adult flanged male,adult flanged male,27-Feb-14,1.54700000000,1.1242395790,1.055,Male,3.120000000,Low,0.055,28.127272730000000,0.003025000000000,,,0.36247,,
1153,472,7864,6-May-16,Charlie,53,5:59:00 AM,0,Tuanan,adult flanged male,adult flanged male,17-Jun-19,0.47300000000,1.0000000000,1.021,Male,0.505801845,Low,0.021,22.523809520000000,0.000441000000001,,,-0.14645,,
1246,772,8131,13-Jul-16,Charlie,53,4:36:00 AM,1,Tuanan,independent immature (older juvs),semiIndind,13-Jun-19,0.48800000000,2.4000000000,1.031,Male,0.269784173,Low,0.031,15.741935480000000,0.000961000000000,,,-0.35384,,
1250,880,8135,14-Jul-16,Charlie,53,6:24:00 AM,1,Tuanan,semi-independent immature (juveniles),semiIndind,13-Jun-19,0.56600000000,2.3000000000,1.035,Male,0.269784173,Low,0.035,16.171428570000000,0.001225000000001,,,-0.35169,,
475,483,5746,14-Sep-13,Chaz,17,5:48:00 AM,1,Tuanan,adult flanged male,adult flanged male,26-Nov-19,0.75000000000,3.9000000000,1.021,Male,6.580000000,High,0.021,35.714285710000000,0.000441000000001,,,0.13055,,
357,23,5552,17-Jun-13,Chaz,17,6:17:00 AM,0,Tuanan,adult flanged male,adult flanged male,27-Apr-15,1.65300000000,2.5000000000,1.005,Male,4.640000000,High,0.005,330.600000000000000,0.000025000000000,,,1.48678,,
423,42,5636,18-Jul-13,Chaz,17,5:10:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Feb-14,0.24800000000,1.6610000000,1.007,Male,3.000000000,Low,0.007,35.428571430000000,0.000049000000001,,,0.01857,,
427,551,5646,21-Jul-13,Chaz,17,5:35:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Feb-14,0.79506172840,3.4037748780,1.023,Male,3.000000000,Low,0.023,34.567901230000000,0.000529000000000,,,0.12739,,
425,561,5640,19-Jul-13,Chaz,17,6:30:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Feb-14,1.16500000000,1.1841501120,1.023,Male,3.000000000,Low,0.023,50.652173910000000,0.000529000000000,,,0.49733,,
358,682,5556,18-Jun-13,Chaz,17,5:26:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Apr-15,1.17200000000,3.2000000000,1.027,Male,4.640000000,High,0.027,43.407407410000000,0.000729000000000,,,0.41350,,
394,899,5552,17-Jun-13,Chaz,17,6:21:00 AM,0,Tuanan,adult flanged male,adult flanged male,27-Feb-14,0.22030000000,5.0224729000,1.036,Male,4.640000000,High,0.036,6.119444444000000,0.001296000000000,,,-0.71518,,
396,968,5556,18-Jun-13,Chaz,17,5:26:00 AM,1,Tuanan,adult flanged male,adult flanged male,27-Feb-14,0.38600000000,2.1477945000,1.039,Male,4.640000000,High,0.039,9.897435897000000,0.001521000000000,,,-0.60004,,
311,819,5344,14-Nov-12,Chili,65,8:35:00 AM,0,Tuanan,adult flanged male,adult flanged male,8-Apr-15,1.21900000000,0.7000000000,1.032,Male,10.050000000,High,0.032,38.093750000000000,0.001024000000000,,,0.35750,,
VTU032,1160,5220,14-Sep-12,Chili,65,7:06:00 AM,0,Tuanan,adult flanged male,adult flanged male,3-Jan-13,1.81639344300,2.8718235700,#NULL!,Male,5.020000000,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
VTU066,1184,5368,26-Nov-12,Chili,65,10:38:00 AM,0,Tuanan,adult flanged male,adult flanged male,3-Jan-13,1.99262295100,3.4904489400,#NULL!,Male,10.050000000,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
VTU067,1185,5368,26-Nov-12,Chili,65,11:49:00 AM,0,Tuanan,adult flanged male,adult flanged male,3-Jan-13,1.09918032800,3.1637887300,#NULL!,Male,10.050000000,High,#NULL!,#NULL!,0.000000000000000,,,#NULL!,,
1524,647,9176,15-Sep-17,Cikipos,62,5:41:00 AM,0,Tuanan,adult female with dependent,adult female,10-Apr-20,0.94200000000,1.6000000000,1.026,Female,3.320012296,Low,0.026,36.230769230000000,0.000676000000000,,,0.20550,,
1420,102,8916,13-May-17,Cinta,35,5:24:00 AM,1,Tuanan,adult female with dependent,adult female,24-Mar-20,0.31500000000,2.0000000000,1.010,Female,2.866831073,Low,0.010,31.500000000000000,0.000100000000000,,,-0.00573,,
1254,157,8142,16-Jul-16,Cinta,35,7:31:00 AM,1,Tuanan,adult female with dependent,adult female,13-Jun-19,0.22100000000,8.2000000000,1.012,Female,0.269784173,Low,0.012,18.416666670000000,0.000144000000000,,,-0.15826,,
1422,328,8918,14-May-17,Cinta,35,5:53:00 AM,1,Tuanan,adult female with dependent,adult female,3-Apr-20,0.59500000000,2.9000000000,1.016,Female,2.866831073,Low,0.016,37.187500000000000,0.000256000000000,,,0.10431,,
1001,519,7491,25-Nov-15,Cinta,35,5:02:00 AM,1,Tuanan,adult female with dependent,adult female,24-Jun-19,0.18500000000,6.5000000000,1.023,Female,3.448000000,Low,0.023,8.043478261000000,0.000529000000000,,,-0.48267,,
1007,686,7507,29-Nov-15,Cinta,35,5:13:00 AM,1,Tuanan,adult female with dependent,adult female,24-Jun-19,0.25200000000,4.8000000000,1.028,Female,3.448000000,Low,0.028,9.000000000000000,0.000784000000001,,,-0.52804,,
1247,861,8129,13-Jul-16,Cinta,35,5:40:00 AM,1,Tuanan,adult female with dependent,adult female,13-Jun-19,0.62600000000,3.9000000000,1.034,Female,0.269784173,Low,0.034,18.411764710000000,0.001156000000001,,,-0.27343,,
784,883,6801,27-Jan-15,Cinta,35,5:41:00 AM,1,Tuanan,adult female no dependent,adult female,4-Feb-17,0.65300000000,10.0000000000,1.035,Female,5.391000000,High,0.035,18.657142860000000,0.001225000000001,,,-0.26469,,
1249,974,8133,14-Jul-16,Cinta,35,6:24:00 AM,1,Tuanan,adult female with dependent,adult female,13-Jun-19,0.72000000000,7.2000000000,1.039,Female,0.269784173,Low,0.039,18.461538460000000,0.001521000000000,,,-0.26604,,
1252,983,8138,15-Jul-16,Cinta,35,6:24:00 AM,1,Tuanan,adult female with dependent,adult female,13-Jun-19,1.13800000000,5.8000000000,1.039,Female,0.269784173,Low,0.039,29.179487180000000,0.001521000000000,,,0.15196,,
499,1110,5850,30-Oct-13,Cinta,35,6:15:00 AM,1,Tuanan,adult female no dependent,adult female,27-Apr-15,0.69700000000,8.7000000000,1.051,Female,4.170000000,High,0.051,13.666666670000000,0.002601000000000,,,-0.44914,,
1204,635,8020,8-Jun-16,Danum,61,4:59:00 AM,0,Tuanan,dependent immature non-clinging infant (4yrs-weaned),dependent,14-Jun-19,0.54800000000,7.7000000000,1.026,Male,0.623515439,Low,0.026,21.076923080000000,0.000676000000000,,,-0.18850,,
1142,745,7832,27-Apr-16,Danum,61,5:42:00 AM,1,Tuanan,dependent immature - clinging infant (0-4yrs),dependent,17-Jun-19,0.45600000000,1.7000000000,1.030,Male,1.179593040,Low,0.030,15.200000000000000,0.000900000000000,,,-0.36571,,
846,4,7024,4-May-15,Dayak,4,6:54:00 AM,0,Tuanan,adult flanged male,adult flanged male,30-Aug-19,0.21000000000,1.9000000000,1.003,Male,1.951000000,Low,0.003,70.000000000000000,0.000009000000000,,,0.10886,,
493,22,5821,21-Oct-13,Dayak,4,5:16:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Mar-15,0.58500000000,1.8000000000,1.005,Male,4.170000000,High,0.005,117.000000000000000,0.000025000000000,,,0.41878,,
1386,50,8827,1-Apr-17,Dayak,4,5:12:00 AM,1,Tuanan,adult flanged male,adult flanged male,17-Mar-20,0.37500000000,2.3000000000,1.007,Male,1.416256158,Low,0.007,53.571428570000000,0.000049000000001,,,0.14557,,
1423,69,8923,16-May-17,Dayak,4,5:21:00 AM,1,Tuanan,adult flanged male,adult flanged male,3-Apr-20,0.39000000000,0.4000000000,1.008,Male,2.866831073,Low,0.008,48.750000000000000,0.000064000000000,,,0.12967,,
1442,81,8955,25-May-17,Dayak,4,5:48:00 AM,0,Tuanan,adult flanged male,adult flanged male,3-Apr-20,0.42500000000,1.1000000000,1.009,Male,2.866831073,Low,0.009,47.222222220000000,0.000081000000000,,,0.13424,,
1091,93,7718,14-Feb-16,Dayak,4,5:56:00 AM,1,Tuanan,adult flanged male,adult flanged male,24-Jun-19,0.15600000000,6.2000000000,1.010,Male,1.086637298,Low,0.010,15.600000000000000,0.000100000000000,,,-0.16473,,
863,113,7054,13-May-15,Dayak,4,5:16:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Sep-19,0.52700000000,1.5000000000,1.010,Male,1.951000000,Low,0.010,52.700000000000000,0.000100000000000,,,0.20627,,
1445,134,#NULL!,31-May-17,Dayak,4,5:50:00 AM,0,Tuanan,adult flanged male,adult flanged male,3-Apr-20,0.28900000000,0.8000000000,1.011,Male,2.866831073,Low,0.011,26.272727270000000,0.000121000000000,,,-0.06123,,
1418,148,8911,12-May-17,Dayak,4,5:21:00 AM,1,Tuanan,adult flanged male,adult flanged male,24-Mar-20,0.61000000000,1.4000000000,1.011,Male,2.866831073,Low,0.011,55.454545450000000,0.000121000000000,,,0.25977,,
1294,161,8222,5-Aug-16,Dayak,4,6:32:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.26600000000,2.7000000000,1.012,Male,0.478755236,Low,0.012,22.166666670000000,0.000144000000000,,,-0.11326,,
1291,190,8215,3-Aug-16,Dayak,4,5:53:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.09300000000,2.5000000000,1.013,Male,0.478755236,Low,0.013,7.153846154000000,0.000169000000000,,,-0.31482,,
869,204,7063,15-May-15,Dayak,4,5:24:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Sep-19,0.35700000000,2.5000000000,1.013,Male,1.951000000,Low,0.013,27.461538460000000,0.000169000000000,,,-0.05082,,
628,210,6325,23-Jun-14,Dayak,4,5:57:00 AM,1,Tuanan,adult flanged male,adult flanged male,20-May-15,0.45400000000,1.0000000000,1.013,Male,3.126879134,Low,0.013,34.923076920000000,0.000169000000000,,,0.04618,,
1088,230,7713,12-Feb-16,Dayak,4,5:47:00 AM,1,Tuanan,adult flanged male,adult flanged male,24-Jun-19,0.23800000000,15.4000000000,1.014,Male,1.086637298,Low,0.014,17.000000000000000,0.000196000000001,,,-0.19791,,
865,242,7059,14-May-15,Dayak,4,5:42:00 AM,0,Tuanan,adult flanged male,adult flanged male,4-Sep-19,0.42300000000,1.4000000000,1.014,Male,1.951000000,Low,0.014,30.214285710000000,0.000196000000001,,,-0.01291,,
1468,296,9023,6-Jul-17,Dayak,4,5:46:00 AM,0,Tuanan,adult flanged male,adult flanged male,8-Apr-20,0.24200000000,1.6000000000,1.016,Male,3.214731586,Low,0.016,15.125000000000000,0.000256000000000,,,-0.24869,,
1471,297,9028,11-Jul-17,Dayak,4,12:32:00 PM,0,Tuanan,adult flanged male,adult flanged male,8-Apr-20,0.24400000000,2.4000000000,1.016,Male,3.214731586,Low,0.016,15.250000000000000,0.000256000000000,,,-0.24669,,
587,301,6241,19-May-14,Dayak,4,2:06:00 PM,0,Tuanan,adult flanged male,adult flanged male,20-May-15,0.31700000000,2.5000000000,1.016,Male,2.699460108,Low,0.016,19.812500000000000,0.000256000000000,,,-0.17369,,
851,306,7031,5-May-15,Dayak,4,5:13:00 AM,0,Tuanan,adult flanged male,adult flanged male,4-Sep-19,0.33400000000,2.9000000000,1.016,Male,1.951000000,Low,0.016,20.875000000000000,0.000256000000000,,,-0.15669,,
1280,307,8196,29-Jul-16,Dayak,4,5:47:00 AM,0,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.33900000000,0.3000000000,1.016,Male,0.269784173,Low,0.016,21.187500000000000,0.000256000000000,,,-0.15169,,
1292,315,8217,4-Aug-16,Dayak,4,5:48:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.41600000000,1.3000000000,1.016,Male,0.478755236,Low,0.016,26.000000000000000,0.000256000000000,,,-0.07469,,
1444,379,8959,20-May-17,Dayak,4,11:29:00 AM,0,Tuanan,adult flanged male,adult flanged male,3-Apr-20,0.55600000000,1.8000000000,1.018,Male,2.866831073,Low,0.018,30.888888890000000,0.000324000000000,,,0.01240,,
795,386,6843,16-Feb-15,Dayak,4,5:34:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Feb-17,0.96600000000,5.3000000000,1.018,Male,4.366000000,High,0.018,53.666666670000000,0.000324000000000,,,0.42240,,
640,461,6385,11-Jul-14,Dayak,4,6:15:00 AM,1,Tuanan,adult flanged male,adult flanged male,20-May-15,1.34200000000,3.0000000000,1.020,Male,3.427540589,Low,0.020,67.100000000000000,0.000400000000000,,,0.74737,,
530,476,6064,17-Mar-14,Dayak,4,5:40:00 PM,1,Tuanan,adult flanged male,adult flanged male,29-Apr-15,0.54200000000,3.9000000000,1.021,Male,3.973902728,Low,0.021,25.809523810000000,0.000441000000001,,,-0.07745,,
1285,493,8207,1-Aug-16,Dayak,4,5:28:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.22900000000,1.1000000000,1.022,Male,0.478755236,Low,0.022,10.409090910000000,0.000484000000000,,,-0.41479,,
854,506,7035,7-May-15,Dayak,4,5:38:00 AM,1,Tuanan,adult flanged male,adult flanged male,4-Sep-19,0.62600000000,4.1000000000,1.022,Male,1.951000000,Low,0.022,28.454545450000000,0.000484000000000,,,-0.01779,,
642,557,6391,13-Jul-14,Dayak,4,#NULL!,1,Tuanan,adult flanged male,adult flanged male,20-May-15,0.98200000000,0.7000000000,1.023,Male,3.427540589,Low,0.023,42.695652170000000,0.000529000000000,,,0.31433,,
1289,579,8210,2-Aug-16,Dayak,4,7:40:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.52700000000,2.2000000000,1.024,Male,0.478755236,Low,0.024,21.958333330000000,0.000576000000000,,,-0.16408,,
588,580,6245,20-May-14,Dayak,4,5:39:00 AM,1,Tuanan,adult flanged male,adult flanged male,20-May-15,0.54900000000,1.2000000000,1.024,Male,2.699460108,Low,0.024,22.875000000000000,0.000576000000000,,,-0.14208,,
1522,589,9168,13-Sep-17,Dayak,4,9:24:00 AM,0,Tuanan,adult flanged male,adult flanged male,10-Apr-20,0.75900000000,2.3000000000,1.024,Male,3.320012296,Low,0.024,31.625000000000000,0.000576000000000,,,0.06792,,
1447,591,#NULL!,1-Jun-17,Dayak,4,5:27:00 AM,1,Tuanan,adult flanged male,adult flanged male,3-Apr-20,0.80900000000,1.4000000000,1.024,Male,2.717726992,Low,0.024,33.708333330000000,0.000576000000000,,,0.11792,,
590,634,6249,21-May-14,Dayak,4,4:50:00 AM,1,Tuanan,adult flanged male,adult flanged male,20-May-15,0.54000000000,1.1000000000,1.026,Male,2.699460108,Low,0.026,20.769230770000000,0.000676000000000,,,-0.19650,,
1281,642,8197,30-Jul-16,Dayak,4,4:48:00 AM,1,Tuanan,adult flanged male,adult flanged male,18-Jul-19,0.77100000000,1.2000000000,1.026,Male,0.269784173,Low,0.026,29.653846150000000,0.000676000000000,,,0.03450,,
