Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,First_Urine_Day,Dirt_Fecal,CAMP/LAB_specgravitymeter,Site,Species,Age_Class,Creatinine_Result,CV,Status
675,6480,11-Aug-14,Idun,4:52:00 AM,Wodan,TRUE,FALSE,1.014,Tuanan,Pongo pygmaeus wurmbii,adult flanged male,0.728,3.2,ok
674,6476,10-Aug-14,Alysse,11:09:00 AM,Desy,FALSE,FALSE,1.002,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.009,8.3,ok
673,6471,08-Aug-14,Alysse,1:59:00 PM,Juni,FALSE,TRUE,1.032,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.189,1.8,ok
672,6471,08-Aug-14,Abuk,5:32:00 AM,Juni,TRUE,FALSE,1.022,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,1.05,2,ok
671,6469,07-Aug-14,Abuk,5:12:00 AM,Juni,TRUE,FALSE,1.024,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.648,1.5,ok
670,6467,06-Aug-14,Alysse,10:15:00 AM,Juni,FALSE,TRUE,1.028,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.844,2.4,ok
669,6463,04-Aug-14,Sonja,5:15:00 AM,Juni,TRUE,FALSE,1.021,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.36,1.4,ok
668,6461,03-Aug-14,Yann,5:00:00 AM,Juni,TRUE,FALSE,1.034,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.505,3.8,ok
667,6441,24-Jul-14,Anuk,7:38:00 AM,Sony,FALSE,TRUE,1.029,Tuanan,Pongo pygmaeus wurmbii,dependent immature non-clinging infant (4yrs-weaned),0.409,0.9,ok
666,6438,23-Jul-14,Alysse,2:42:00 PM,Inul,FALSE,TRUE,1.043,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.8,1.8,ok
664,6437,23-Jul-14,Wilhelm,5:26:00 AM,Sidony,TRUE,FALSE,1.019,Tuanan,Pongo pygmaeus wurmbii,adult female with dependent,0.434,0.7,ok
