Sample Number,Follow Number,Date_Collected,Who_Collected,Time_Collected,Orangutan_ID,Cold_Thermos,Comments,Dirt_Fecal,First_Urine_Day,CAMP/LAB_specgravitymeter,Site,Month Collection,Year Collection,Age_Class,8OHdG_Result,tblAnalysis_8-OHdG.CV,tblAnalysis_8-OHdG.Status,TAC_Result,tblAnalysis_TAC.CV,tblAnalysis_TAC.Status,Neopterin_Result,tblAnalysis_Neopterin.CV,tblAnalysis_Neopterin.Status,Cortisol_Result,tblAnalysis_Cortisol.CV,tblAnalysis_Cortisol.Status,G-CSF_Result,tblAnalysis_G-CSF.CV,tblAnalysis_G-CSF.Status,IL-10_Result,tblAnalysis_IL-10.CV,tblAnalysis_IL-10.Status,IL-1RA_Result,tblAnalysis_IL-1RA.CV,tblAnalysis_IL-1RA.Status,IL-8_Result,tblAnalysis_IL-8.CV,tblAnalysis_IL-8.Status,MLP-1_Result,tblAnalysis_MCP-1.CV,tblAnalysis_MCP-1.Status,TNF_alpha_Result,tblAnalysis_TNF-alpha.CV,tblAnalysis_TNF-alpha.Status
675,6480,11-Aug-14,Idun,4:52:00 AM,Wodan,TRUE,"camp ketones was brown in color
UBG was white in color in camp",FALSE,TRUE,1.014,Tuanan,8,2014,adult flanged male,26.695,0.6,ok,,,,263.523,6.4,ok,40436.61,12.7,ok,33.42,19.21%,ok,2.45,4.56%,ok,29.7,26.81%,rerun,0,0%,ok,2.33,12.12%,ok,0,0%,ok
674,6476,10-Aug-14,Alysse,11:09:00 AM,Desy,FALSE,"There was dirt or fecal material on the leaves; She urinated at 11:09, but I had to wait for her to move until 11:17",FALSE,FALSE,1.002,Tuanan,8,2014,adult female with dependent,,,,,,,,,,7796.769,1.2,ok,0,0%,ok,131.98,4.47%,ok,0.54,4.56%,ok,0,4.2%,ok,0,15.71%,ok,0,0%,ok
673,6471,08-Aug-14,Alysse,1:59:00 PM,Juni,FALSE,erythrocytes in forest and camp were a tan color,TRUE,FALSE,1.032,Tuanan,8,2014,adult female with dependent,,,,,,,1009.158,2.1,ok,61781.948,26.8,rerun,22.33,2.48%,ok,8.91,0%,ok,218.34,3.06%,ok,17.2,5.6%,ok,47.86,2.72%,ok,0,10.88%,ok
672,6471,08-Aug-14,Abuk,5:32:00 AM,Juni,FALSE,Don't know if sample was put into a cold thermos in the forest; unsure of who processed the sample and what the box number for samples is; frozen sample bottle J is fecal; frozen sample bottle K is soil,FALSE,TRUE,1.022,Tuanan,8,2014,adult female with dependent,9.52,1.5,ok,,,,421.156,1.7,ok,64602.15,13.3,ok,38.7,1.52%,ok,7.11,15.71%,ok,4.55,11.12%,ok,4.57,4.22%,ok,9.05,6.08%,ok,0,0%,ok
671,6469,07-Aug-14,Abuk,5:12:00 AM,Juni,TRUE,frozen sample bottle j is fecal; frozen sample bottle k is soil,FALSE,TRUE,1.024,Tuanan,8,2014,adult female with dependent,3.236,3.9,ok,3.128,0.7,ok,455.416,3.6,ok,45290.06,6.2,ok,167.55,13.18%,ok,41.77,20.2%,rerun,0.54,22.81%,rerun,5.94,8.62%,ok,27.97,0.86%,ok,0,0%,ok
670,6467,06-Aug-14,Alysse,10:15:00 AM,Juni,TRUE,no strips for the forest,TRUE,FALSE,1.028,Tuanan,8,2014,adult female with dependent,,,,,,,,,,112776.2,1.9,ok,308.22,4.67%,ok,74.89,4.79%,ok,3.66,26.05%,rerun,7.54,5.66%,ok,87.89,17.71%,ok,0,0%,ok
669,6463,04-Aug-14,Sonja,5:15:00 AM,Juni,FALSE,"urine in camp was yellow-orange; the rain, ground, leaves, and plastic were wet from the night before; her child is jane; urobilinogen in camp was white; biliruben in camp was orange",FALSE,TRUE,1.021,Tuanan,8,2014,adult female with dependent,9.082,0.3,ok,2.552,1.7,ok,216.957,5.3,ok,27070.9,13.7,ok,87.06,5.98%,ok,8.91,7.44%,ok,0,0%,ok,13.85,13%,ok,34.72,14.33%,ok,0,0%,ok
668,6461,03-Aug-14,Yann,5:00:00 AM,Juni,TRUE,her child is Jane; glucose in the forest was negative; urobilinogen in the camp was white; biliruben in the camp was orange,FALSE,TRUE,1.034,Tuanan,8,2014,adult female with dependent,12.078,4.2,ok,,,,334.369,6.0,ok,84005.417,13.2,ok,244.54,8.05%,ok,40.96,3.72%,ok,0.75,0%,ok,24.57,12.94%,ok,51.44,5.92%,ok,0,0%,ok
667,6441,24-Jul-14,Anuk,7:38:00 AM,Sony,TRUE,urine at camp was clear-orange; this was the second urine of the day; ketones in camp were brown/purple; urobilinogen in camp was white,TRUE,FALSE,1.029,Tuanan,7,2014,dependent immature non-clinging infant (4yrs-weaned),,,,,,,602.728,7.1,ok,,,,379.94,2.64,ok,37.25,5.66,ok,7.75,39.83,rerun,0,0,ok,10.34,20.72,,10.34,20.72,rerun
666,6438,23-Jul-14,Alysse,2:42:00 PM,Inul,TRUE,"leukocytes in forest and camp were pink; not enough urobilinogen, biliruben, or erythrocytes in camp; glucose in camp was negative; dirt looked like it was from the leaves",TRUE,FALSE,1.043,Tuanan,7,2014,adult female with dependent,,,,,,,,,,,,,31.62,1.84%,ok,12.43,3.37%,ok,0.61,8.84%,ok,97.48,1.27%,ok,69.35,0.39%,ok,0,0%,ok
664,6437,23-Jul-14,Wilhelm,5:26:00 AM,Sidony,TRUE,"with infant Sony; urinated in the nest, leaf contamination; biliruben in camp was orange",FALSE,TRUE,1.019,Tuanan,7,2014,adult female with dependent,10.286,12,ok,,,,4013.555,6.8,rerun,4405531,0,rerun,104.33,28.39,rerun,43.06,3.01,ok,1.79,24.51,rerun,186.43,28.58,rerun,82.9,15.55,,82.9,15.55,rerun
663,6433,22-Jul-14,Alysse,6:34:00 AM,Sony,TRUE,sidony is his mother; glucose in forest and camp was negative; this is when sidony got killed so Sony was no longer taking breast milk,FALSE,TRUE,1.013,Tuanan,7,2014,dependent immature non-clinging infant (4yrs-weaned),,,,,,,,,,,,,215.64,9.11,ok,14.51,3.78,ok,0,4.88,ok,0,8.32,ok,4.41,20.2,,4.41,20.2,rerun
662,6432,22-Jul-14,Alysse,10:21:00 AM,Sidony,FALSE,her child is Sony; she still seems very sick; she was social grooming with Sony; glucose was negative in camp; biliruben in camp was orange; frozen bottle sample j was fecal; frozen bottle sample k was soil,FALSE,FALSE,1.020,Tuanan,7,2014,adult female with dependent,8.601,6.6,ok,,,,4224.443,20.5,rerun,,,,48.28,10.52,ok,4.84,4.04,ok,4.33,0.92,ok,403.82,1.76,ok,89.96,2.35,ok,89.96,2.35,ok
661,6434,22-Jul-14,Idun,5:28:00 AM,Inul,TRUE,ketones in camp were brown,FALSE,TRUE,1.050,Tuanan,7,2014,adult female with dependent,152.541,3.6,ok,,,,1681.211,2.5,ok,,,,41.73,11.31%,ok,26.49,1.21%,ok,2.56,0%,ok,67.19,7.91%,ok,125.71,4.27%,ok,0,0%,ok
660,6430,21-Jul-14,Suwi,5:36:00 AM,Ipsy,TRUE,resting outside the nest; protein in camp was light green; ketones in camp were brown; urobilinogen in camp was white; biliruben in camp was orange,FALSE,TRUE,1.052,Tuanan,7,2014,independent immature (older juvs),44.523,8.2,ok,,,,1170.470,5.6,ok,454012.4,2.3,ok,14.86,13.47%,ok,2.45,4.56%,ok,7.27,7.67%,ok,5.03,3.93%,ok,7.8,0.91%,ok,0,0%,ok
659,6429,21-Jul-14,Anna,5:28:00 AM,Inul,TRUE,her children are Ipsy and Ivan; protein in camp was green; ketones in camp were brown; bilirubin in camp was orange; urobilinogen in camp was white,FALSE,TRUE,1.048,Tuanan,7,2014,adult female with dependent,40.417,0.2,ok,,,,1427.843,2.2,ok,RANGE,range,rerun,53.56,1.06,ok,5.89,14.63,rerun,8.6,16.19,rerun,151.29,3.46,ok,56.38,0.84,ok,56.38,0.84,ok
658,6427,21-Jul-14,Yann,8:44:00 AM,Sidony,TRUE,"she went from resting in the nest, to resting; biliruben in forest and camp was orange; urobilinogen in camp was white",FALSE,TRUE,1.023,Tuanan,7,2014,adult female with dependent,,,,,,,836.072,1.6,ok,,,,48.28,10.52,ok,5.68,7.86,ok,1.97,1.75,ok,478.22,7.63,ok,28.09,7.35,ok,28.09,7.35,ok
657,6428,21-Jul-14,Alysse,6:03:00 AM,Sony,TRUE,"has been cleaning Sidony's wounds with mouth, maybe pass infection to Sony; the glucose and urobilinogen in camp were negative; the protein in camp could look like a trace",FALSE,TRUE,1.020,Tuanan,7,2014,dependent immature non-clinging infant (4yrs-weaned),7.264,2.8,ok,,,,551.063,7.5,ok,,,,28.75,24.84,rerun,4.42,10.25,ok,0,0,ok,0,0,ok,45.17,3.44,ok,45.17,3.44,ok
656,6422,20-Jul-14,Suwi,5:52:00 AM,Sidony,TRUE,her child is Sony; urobilinogen in forest was negative; frozen sample bottle j is fecal; frozen sample bottle k is soil,TRUE,TRUE,1.021,Tuanan,7,2014,adult female with dependent,,,,,,,3323.833,10.2,rerun,RANGE,range,rerun,6.45,5.89,ok,0,6.96,ok,68.22,3.31,ok,752.53,0.6,ok,51.27,0.04,ok,51.27,0.04,ok
655,6420,19-Jul-14,Alysse,12:22:00 PM,Inul,TRUE,her children are Ivan and Ipsy; biliruben in camp was orange; no paper for the slide sheet number,FALSE,FALSE,1.041,Tuanan,7,2014,adult female with dependent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
